"","municipality","households","Carless","nc2020","nc2021","nc2020pct","nc2021pct"
"81","Samsø",1977,"Familier uden bil i alt",641,655,32.4228629236217,33.1310065756196
"82","Silkeborg",42024,"Familier uden bil i alt",11584,11511,27.5652008376166,27.3914905768132
"83","Skanderborg",25952,"Familier uden bil i alt",5802,5666,22.3566584463625,21.8326140567201
"84","Skive",22290,"Familier uden bil i alt",6148,6027,27.5818752803948,27.0390309555855
"85","Slagelse",38274,"Familier uden bil i alt",15063,14748,39.3556983853269,38.5326853738831
"86","Solrød",9704,"Familier uden bil i alt",2628,2627,27.0816158285243,27.0713107996702
"87","Sorø",13643,"Familier uden bil i alt",4033,4042,29.5609470057905,29.6269149014146
"88","Stevns",10243,"Familier uden bil i alt",2825,2796,27.5798106023626,27.2966904227277
"89","Struer",10116,"Familier uden bil i alt",2938,2906,29.0431000395413,28.7267694741004
"90","Svendborg",28219,"Familier uden bil i alt",9951,9872,35.263474963677,34.9835217406712
"91","Syddjurs",19552,"Familier uden bil i alt",4949,4841,25.3119885433715,24.7596153846154
"92","Sønderborg",36069,"Familier uden bil i alt",11033,10873,30.5885940835621,30.1449998613768
"93","Thisted",20518,"Familier uden bil i alt",5849,5750,28.5066770640413,28.0241738960912
"94","Tårnby",18939,"Familier uden bil i alt",8714,8344,46.0108770262421,44.0572363905169
"95","Tønder",17808,"Familier uden bil i alt",4853,4867,27.2517969451932,27.3304132973944
"96","Vallensbæk",6638,"Familier uden bil i alt",2607,2452,39.2738776739982,36.9388369990961
"97","Varde",22686,"Familier uden bil i alt",5444,5407,23.9971788768403,23.8340826941726
"98","Vejen",19076,"Familier uden bil i alt",4880,4819,25.5818829943384,25.2621094569092
"99","Vejle",52575,"Familier uden bil i alt",16454,16273,31.2962434617214,30.9519733713742
"100","Vesthimmerlands",17369,"Familier uden bil i alt",4851,4676,27.9290690310323,26.9215268581956
"101","Viborg",44669,"Familier uden bil i alt",13147,12856,29.4320445946854,28.7805860887864
"102","Vordingborg",22587,"Familier uden bil i alt",7731,7479,34.2276530747775,33.1119670606986
"103","Ærø",3348,"Familier uden bil i alt",1388,1362,41.4575866188769,40.6810035842294
